node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_1429,12,0.0127,0.0045,0.1081,0.0007
G_143,1,0.0127,0.0016,0.1216,0.0007
G_1430,6,0.01,0.0021,0.1053,0.0006
G_1431,12,0.0113,0.0018,0.1046,0.0007
G_1432,4,0.012,0.0007,0.082,0.0006
G_1433,5,0.01,0.0004,0.0998,0.0006
G_1434,2,0.012,0.0008,0.0882,0.0007
G_1435,9,0.0127,0.0024,0.0756,0.0007
G_1436,3,0.012,0.0007,0.0926,0.0006
G_1437,5,0.014,0.0029,0.1027,0.0008
G_1438,7,0.014,0.0022,0.1093,0.0008
G_1439,5,0.0133,0.0034,0.1058,0.0007
G_144,0,0.0167,0.0008,0.0848,0.0008
G_1440,12,0.014,0.0021,0.1067,0.0008
G_1441,7,0.01,0.0053,0.1084,0.0006
G_1442,4,0.01,0.0023,0.0847,0.0006
G_1443,8,0.0133,0.0034,0.0861,0.0007
G_1444,7,0.0113,0.0106,0.1207,0.0006
G_1445,2,0.0133,0.0022,0.0995,0.0007
G_1446,9,0.01,0.0026,0.0771,0.0006
G_1447,7,0.0113,0.004,0.1083,0.0007
G_1448,13,0.0107,0.0047,0.1069,0.0006
G_1449,3,0.0107,0.002,0.0856,0.0006
G_145,0,0.0127,0.0004,0.0864,0.0007
G_1450,2,0.0107,0.0031,0.0887,0.0006
G_1451,13,0.0107,0.0028,0.1107,0.0006
G_1452,11,0.0127,0.0012,0.0962,0.0007
G_1453,9,0.01,0.0,0.0734,0.0006
G_1454,3,0.012,0.0011,0.0881,0.0007
G_1455,8,0.0113,0.0013,0.0829,0.0006
G_1456,6,0.012,0.0032,0.115,0.0007
G_1457,5,0.0127,0.0011,0.1029,0.0007
G_1458,9,0.0133,0.0009,0.0745,0.0007
G_1459,8,0.01,0.0001,0.0823,0.0006
G_146,10,0.012,0.0031,0.1182,0.0007
G_1460,7,0.012,0.0062,0.1098,0.0007
G_1461,6,0.0127,0.0029,0.102,0.0007
G_1462,5,0.0107,0.0028,0.1001,0.0006
G_1463,12,0.012,0.0066,0.1057,0.0007
G_1464,6,0.0127,0.0028,0.1006,0.0007
G_1465,3,0.0107,0.0006,0.0901,0.0006
G_1466,6,0.0107,0.0018,0.1076,0.0006
G_1467,6,0.0113,0.0548,0.1069,0.0006
G_1468,9,0.0113,0.0001,0.0756,0.0006
G_1469,5,0.0113,0.0012,0.1047,0.0006
G_147,4,0.0113,0.0008,0.0736,0.0006
G_1470,2,0.0133,0.0043,0.1047,0.0007
G_1471,9,0.0147,0.0001,0.0735,0.0008
G_1472,2,0.0107,0.0024,0.0923,0.0006
