node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
S_1391,9,0.0173,0.0015,0.0401,0.0007
S_1392,11,0.014,0.0034,0.0407,0.0006
S_1393,8,0.016,0.0163,0.0469,0.0006
S_1394,4,0.0173,0.0005,0.0597,0.0007
S_1395,3,0.0193,0.0024,0.0473,0.0008
S_1396,10,0.016,0.0028,0.0685,0.0006
S_1397,3,0.0173,0.0025,0.0516,0.0007
S_1398,7,0.0167,0.0047,0.0575,0.0007
S_1399,10,0.0147,0.0014,0.0679,0.0006
S_14,6,0.02,0.0002,0.0453,0.0007
S_140,6,0.0153,0.0026,0.0412,0.0006
S_1400,8,0.018,0.0019,0.0538,0.0007
S_1401,7,0.0147,0.0002,0.0566,0.0006
S_1402,3,0.0207,0.0006,0.0513,0.0008
S_1403,9,0.014,0.0005,0.0396,0.0006
S_1404,5,0.0147,0.0236,0.0683,0.0006
S_1405,9,0.014,0.01,0.0418,0.0006
S_1406,10,0.0193,0.0013,0.0708,0.0007
S_1407,9,0.014,0.0022,0.0422,0.0006
S_1408,8,0.014,0.0767,0.0515,0.0006
S_1409,10,0.0167,0.0004,0.0657,0.0006
S_141,6,0.02,0.0009,0.0399,0.0008
S_1410,8,0.018,0.0008,0.0444,0.0007
S_1411,4,0.016,0.0,0.0549,0.0006
S_1412,4,0.016,0.0005,0.0588,0.0006
S_1413,3,0.014,0.0004,0.0544,0.0006
S_1414,4,0.018,0.0086,0.0644,0.0007
S_1415,5,0.018,0.0005,0.0681,0.0007
S_1416,5,0.0193,0.0003,0.0653,0.0007
S_1417,9,0.018,0.0007,0.0347,0.0007
S_1418,3,0.0153,0.0004,0.0543,0.0006
S_1419,7,0.014,0.0216,0.0619,0.0006
S_142,12,0.018,0.0001,0.0258,0.0007
S_1420,7,0.0153,0.0239,0.0692,0.0006
S_1421,10,0.0153,0.0018,0.0692,0.0006
S_1422,5,0.0193,0.0002,0.0632,0.0007
S_1423,8,0.02,0.0106,0.0489,0.0008
S_1424,8,0.0153,0.002,0.0539,0.0006
S_1425,4,0.0167,0.0001,0.061,0.0006
S_1426,5,0.0173,0.0021,0.0704,0.0007
S_1427,8,0.0187,0.0004,0.0422,0.0007
S_1428,10,0.018,0.0021,0.0676,0.0007
S_1429,7,0.0147,0.0005,0.0611,0.0006
S_143,2,0.014,0.0008,0.0365,0.0006
S_1430,10,0.0187,0.0005,0.0671,0.0007
S_1431,5,0.0173,0.0004,0.0669,0.0007
S_1432,7,0.0207,0.0237,0.067,0.0008
S_1433,4,0.0147,0.0337,0.0699,0.0006
S_1434,9,0.0147,0.0017,0.0381,0.0006
S_1435,11,0.014,0.0,0.0314,0.0006
S_1436,5,0.0207,0.0004,0.0639,0.0008
S_1437,5,0.0167,0.001,0.0665,0.0006
S_1438,10,0.018,0.0005,0.0671,0.0007
S_1439,5,0.018,0.0004,0.0636,0.0007
S_144,1,0.0147,0.0013,0.0471,0.0006
S_1440,10,0.0173,0.0009,0.0665,0.0007
S_1441,5,0.0167,0.0005,0.0677,0.0007
S_1442,3,0.0187,0.0007,0.0561,0.0007
S_1443,4,0.0173,0.0004,0.0587,0.0007
