node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
R_1312,11,0.016,0.0035,0.068,0.0006
R_1313,4,0.02,0.007,0.0385,0.0008
R_1314,6,0.018,0.0016,0.0707,0.0007
R_1315,9,0.014,0.0023,0.07,0.0006
R_1316,7,0.0147,0.0013,0.064,0.0006
R_1317,0,0.016,0.0001,0.0589,0.0006
R_1318,0,0.02,0.002,0.0612,0.0008
R_1319,2,0.0167,0.0027,0.0667,0.0007
R_132,0,0.016,0.0006,0.0574,0.0007
R_1320,9,0.0147,0.0015,0.0735,0.0006
R_1321,1,0.0167,0.0001,0.0447,0.0007
R_1322,1,0.0173,0.0134,0.0483,0.0007
R_1323,3,0.0147,0.0008,0.0484,0.0006
R_1324,9,0.018,0.0022,0.0719,0.0007
R_1325,9,0.0147,0.1325,0.0786,0.0006
R_1326,11,0.0187,0.0047,0.0684,0.0007
R_1327,10,0.0153,0.0451,0.0494,0.0006
R_1328,0,0.016,0.0023,0.0632,0.0006
R_1329,0,0.0153,0.0006,0.0539,0.0006
R_133,0,0.0173,0.001,0.0556,0.0007
R_1330,0,0.014,0.0759,0.0618,0.0006
R_1331,3,0.0167,0.0262,0.0539,0.0007
R_1332,8,0.0193,0.0028,0.0787,0.0007
R_1333,6,0.016,0.0008,0.0688,0.0006
R_1334,1,0.014,0.0063,0.0467,0.0006
R_1335,1,0.0147,0.0008,0.045,0.0006
R_1336,2,0.0147,0.0272,0.0672,0.0006
R_1337,5,0.0147,0.0029,0.0565,0.0006
R_1338,10,0.018,0.0016,0.0517,0.0007
R_1339,8,0.0207,0.002,0.0764,0.0008
R_134,1,0.0167,0.0006,0.0448,0.0007
R_1340,7,0.018,0.0022,0.0685,0.0007
R_1341,0,0.0173,0.008,0.0596,0.0007
R_1342,11,0.018,0.0007,0.0667,0.0007
R_1343,0,0.0193,0.0048,0.0635,0.0007
R_1344,0,0.014,0.0025,0.0558,0.0006
R_1345,8,0.0173,0.0005,0.0751,0.0007
R_1346,5,0.0167,0.0003,0.0562,0.0007
R_1347,7,0.014,0.0002,0.0655,0.0006
R_1348,6,0.016,0.0006,0.0725,0.0007
R_1349,11,0.0173,0.0014,0.0666,0.0007
R_135,11,0.0167,0.0016,0.065,0.0006
R_1350,4,0.02,0.0003,0.0374,0.0008
R_1351,0,0.014,0.0722,0.0558,0.0006
R_1352,3,0.0193,0.0004,0.0482,0.0007
R_1353,0,0.02,0.0005,0.0591,0.0008
R_1354,0,0.0147,0.0001,0.0612,0.0006
R_1355,5,0.0153,0.0001,0.0539,0.0006
R_1356,0,0.0167,0.0024,0.0578,0.0007
R_1357,4,0.0153,0.0105,0.043,0.0006
R_1358,11,0.0173,0.0008,0.0663,0.0007
R_1359,1,0.014,0.0003,0.0449,0.0006
R_136,0,0.018,0.0039,0.0633,0.0007
R_1360,6,0.0187,0.0109,0.0752,0.0007
R_1361,6,0.0147,0.0091,0.0709,0.0006
R_1362,8,0.016,0.0004,0.0751,0.0006
R_1363,2,0.014,0.0011,0.0588,0.0006
R_1364,8,0.0193,0.002,0.0762,0.0008
R_1365,0,0.0147,0.0014,0.0633,0.0006
R_1366,4,0.014,0.0004,0.0418,0.0006
R_1367,11,0.0193,0.0014,0.0647,0.0007
R_1368,3,0.0173,0.0003,0.0517,0.0007
R_1369,3,0.0187,0.0012,0.0502,0.0007
R_137,2,0.0167,0.0009,0.0661,0.0007
R_1370,4,0.0147,0.0012,0.0431,0.0006
R_1371,9,0.02,0.001,0.0743,0.0007
R_1372,0,0.0207,0.0062,0.0635,0.0008
